Individual,SampleID,1,2,3,4
Individual1.1,M2Akey217.141030,0.324918263,-0.032707444,0.017122724,0.005457917
Individual1.2,M2Bkey217.141063,0.299784626,-0.028365344,-0.051651832,-0.009184248
Individual1.3,M2Ckey217.141092,0.401500962,-0.104325011,0.11080734,-0.049311703
Individual1.4,M2Dkey217.140994,0.375335365,-0.093183106,0.112299096,-0.077909322
Individual1.5,M2Ekey217.141011,0.360972265,-0.097279653,0.154185715,-0.047205996
Individual1.6,M2Enter217.141012,0.281287794,0.027439889,-0.03168212,0.104374745
Individual1.7,M2Fkey217.141078,0.34247703,0.005425384,0.013923411,0.059873171
Individual1.8,M2Gkey217.141106,0.329203937,-0.03172291,-0.079914504,-0.018146748
Individual1.9,M2Hkey217.141026,0.243429777,0.002521243,-0.044522925,0.094868704
Individual1.10,M2Ikey217.141000,0.260929553,0.067693688,0.022968397,0.110318537
Individual1.11,M2Indl217.141074,0.256161813,-0.010918056,-0.019465559,-0.057456018
Individual1.12,M2Indr217.141062,0.112450048,0.05601527,-0.107768422,-0.081608643
Individual1.13,M2Jkey217.141038,0.237716693,0.035006047,-0.029776123,0.141070161
Individual1.14,M2Kkey217.141041,0.259905182,-0.014359573,-0.035307701,0.050176844
Individual1.15,M2Lkey217.141048,0.200404152,0.022873058,0.024598592,0.071080086
Individual1.16,M2Lsft217.141056,0.241483152,0.00637286,-0.051895442,0.05968209
Individual1.17,M2Midl217.141009,0.263125652,-0.111505399,0.126196305,-0.263307697
Individual1.18,M2Midr217.141082,0.198910526,0.024279296,-0.109714948,-0.057186319
Individual1.19,M2Mkey217.141014,0.133532478,0.013838929,-0.06173079,0.046909511
Individual1.20,M2Nkey217.141052,0.163047931,-0.042687996,-0.017760096,-0.002285041
Individual1.21,M2Okey217.141061,0.193422755,0.016295356,-0.015463972,0.124725869
Individual1.22,M2Pinl217.141003,0.219671018,-0.069646995,0.03976326,-0.149377787
Individual1.23,M2Pinr217.141039,0.157742333,0.074467091,-0.055804195,0.006604276
Individual1.24,M2Pkey217.141105,0.218860806,0.007596355,-0.011022512,0.139566354
Individual1.25,M2Qkey217.141102,0.280870565,0.008499659,-0.002471483,0.06612667
Individual1.26,M2Rinl217.141058,0.223005625,-0.123497776,0.115150948,-0.233900133
Individual1.27,M2Rinr217.141027,0.216951478,0.001486566,-0.081013127,-0.070374244
Individual1.28,M2Rkey217.141050,0.257945805,-0.067735941,0.098815511,-0.097611805
Individual1.29,M2Rsft217.141034,0.303220318,-0.022642738,0.015330705,-0.012866332
Individual1.30,M2Skey217.141089,0.28698731,-0.003516132,0.037215894,0.024868938
Individual1.31,M2Space217.140997,0.323448411,0.035031849,0.007783717,0.103520829
Individual1.32,M2Thml217.141005,0.295957021,-0.096901151,0.085413052,-0.170390726
Individual1.33,M2Thmr217.141087,0.146466508,0.01911532,-0.136171107,-0.083665822
Individual1.34,M2Tkey217.141054,0.296187141,-0.000371969,0.010934858,0.055015013
Individual1.35,M2Ukey217.141085,0.194882401,0.027143798,-0.035865291,0.075927486
Individual1.36,M2Vkey217.141022,0.322456965,-0.00381042,-0.01360584,0.029642243
Individual1.37,M2Wkey217.141070,0.327557751,-0.034000297,0.080404634,0.02857929
Individual1.38,M2Xkey217.141016,0.261329452,-0.103909195,0.126255875,-0.036098178
Individual1.39,M2Ykey217.141095,0.232304236,0.05930433,-0.018013102,0.107187145
Individual1.40,M2Zkey217.141015,0.315108943,0.002771616,0.045031666,0.113240636
Individual2.1,M3Akey217.141006,-0.173638298,0.151371088,0.080631061,0.00531905
Individual2.2,M3Bkey217.141059,-0.171598024,0.07718138,0.029057247,-0.132612139
Individual2.3,M3Ckey217.141073,-0.209652324,0.067054403,0.178165388,-0.042125636
Individual2.4,M3Ekey217.141042,-0.165372886,0.123988737,0.054740835,-0.062026862
Individual2.5,M3Gkey217.141037,-0.15853553,0.136268286,0.006954787,-0.06428678
Individual2.6,M3Hkey217.141093,-0.148932304,0.123963036,0.092963463,0.044900359
Individual2.7,M3Indl217.141067,-0.146939552,0.054618025,-0.087757103,-0.049015947
Individual2.8,M3Indr217.140993,-0.081214703,0.22270225,0.018046754,-0.017828349
Individual2.9,M3Jkey217.141017,-0.198773933,0.01073988,0.029337499,-0.107401856
Individual2.10,M3Kkey217.141046,-0.203403988,-0.002843949,0.163082516,-0.12546863
Individual2.11,M3Lkey217.141097,-0.099959146,0.194166341,0.01059473,0.082936206
Individual2.12,M3Lsft217.141088,-0.100620302,0.154945003,0.087892946,-0.001074728
Individual2.13,M3Midl217.141103,-0.09079776,0.118431834,-0.069921263,0.008364845
Individual2.14,M3Midr217.141101,-0.031541207,0.229625949,-0.042357928,-0.001958741
Individual2.15,M3Mkey217.141107,-0.135634078,0.142330385,0.12676463,0.032597771
Individual2.16,M3Nkey217.141001,-0.228488086,0.042617308,0.146504938,-0.072858175
Individual2.17,M3Pinl217.141094,0.011026944,0.195585979,-0.055742277,-0.009409798
Individual2.18,M3Pinr217.141057,-0.11094472,0.226162757,0.02330851,-0.007496002
Individual2.19,M3Pkey217.141031,-0.129473465,0.132884282,0.093249305,0.000107608
Individual2.20,M3Qkey217.141051,-0.152727823,0.094969361,-0.043424888,0.021526207
Individual2.21,M3Rinl217.141100,-0.172054509,0.041934135,0.004847233,-0.067599877
Individual2.22,M3Rinr217.141091,-0.045274687,0.173004104,-0.080757814,0.031224801
Individual2.23,M3Rkey217.141025,-0.109810077,0.115526418,-0.07146573,-0.020899572
Individual2.24,M3Rsft217.140995,-0.136407585,0.138933713,0.003207753,0.006611799
Individual2.25,M3Space217.141098,-0.211786841,0.170132662,0.144692376,0.015909657
Individual2.26,M3Thml217.141040,-0.192073759,0.042629917,0.003727893,-0.023377067
Individual2.27,M3Thmr217.140996,-0.086479694,0.247867406,0.005684167,-0.001738606
Individual2.28,M3Tkey217.141081,-0.1385123,0.083006048,-0.017959849,-0.026157743
Individual2.29,M3Vkey217.141028,-0.19118363,0.041199203,0.046428684,-0.056042907
Individual2.30,M3Wkey217.141104,-0.149726657,0.163447649,-0.011257273,-0.057424345
Individual2.31,M3Xkey217.141055,-0.108365269,0.198129939,-0.050879259,-0.00196423
Individual2.32,M3Ykey217.141023,-0.118769568,0.169166261,-0.000467835,0.00911668
Individual2.33,M3Zkey217.141083,-0.226584938,0.076835921,0.238493945,-0.103098669
Individual3.1,M9Akey217.141086,-0.154149475,-0.133305897,0.128911287,0.139630069
Individual3.2,M9Bkey217.141032,-0.241319312,-0.090300564,-0.056054451,-0.017387603
Individual3.3,M9Ckey217.141013,-0.223245266,-0.081354018,-0.021429748,0.026525737
Individual3.4,M9Dkey217.141053,-0.242268855,-0.136107606,0.007296441,0.073140273
Individual3.5,M9Ekey217.141044,-0.183877339,-0.078836342,0.066125791,0.008507772
Individual3.6,M9Enter217.141084,-0.218101663,-0.091683385,0.063601103,-0.057131091
Individual3.7,M9Fkey217.141065,-0.228868499,-0.126065599,-0.043772504,0.022041784
Individual3.8,M9Gkey217.141099,-0.133000602,-0.119026637,0.034362035,0.013714682
Individual3.9,M9Hkey217.140999,-0.190226575,-0.197864479,0.027292955,0.057122678
Individual3.10,M9Indl217.141066,-0.046731684,-0.102359223,-0.21866154,-0.089830865
Individual3.11,M9Indr217.140998,-0.16469333,-0.13837032,-0.245098225,-0.030800207
Individual3.12,M9Kkey217.141033,-0.226875948,-0.25175467,0.174146201,0.098769085
Individual3.13,M9Midl217.141043,-0.165847675,-0.102021125,-0.163374821,-0.017719273
Individual3.14,M9Midr217.141060,-0.124891349,-0.064095875,-0.255399003,0.002111341
Individual3.15,M9Mkey217.141007,-0.205621551,-0.059964716,-0.08431799,-0.020013735
Individual3.16,M9Nkey217.141010,-0.245714068,-0.104297515,0.060221789,0.032585421
Individual3.17,M9Okey217.141076,-0.171522145,-0.137762048,-0.028791306,0.058327473
Individual3.18,M9Pinl217.141035,-0.078925994,0.018160479,-0.193355424,-0.017477358
Individual3.19,M9Pinr217.141002,-0.118226149,-0.181541166,-0.10456419,-0.082055624
Individual3.20,M9Pkey217.141096,-0.264642012,-0.12804791,0.188123161,0.221464413
Individual3.21,M9Qkey217.141019,-0.235537503,-0.162244662,0.068696526,0.024764149
Individual3.22,M9Rinl217.141020,-0.145454611,-0.019748864,-0.190102919,0.018133579
Individual3.23,M9Rinr217.141080,-0.142360713,-0.100037581,-0.246415153,-0.033933317
Individual3.24,M9Skey217.141004,-0.248854337,-0.181240832,0.090787154,0.142195268
Individual3.25,M9Space217.141079,-0.235343338,-0.14998978,0.059830076,0.107445811
Individual3.26,M9Thml217.141021,-0.190025261,-0.163756658,-0.167468766,-0.089162988
Individual3.27,M9Thmr217.141049,-0.071572029,-0.031028513,-0.259952335,0.008014759
Individual3.28,M9Vkey217.141018,-0.145173068,-0.050328322,-0.053495975,0.034233021
Individual3.29,M9Wkey217.141090,-0.20766412,-0.210066083,0.031393556,-0.027977116
Individual3.30,M9Xkey217.141072,-0.233381624,-0.101035264,-0.029716303,0.044401026
Individual3.31,M9Ykey217.141029,-0.262587247,-0.102591031,0.07121653,0.042682754